Date,State,Channel,Product,Volume,Data Type
2022-05-01,MS,DIGITAL,ILP,221.0,Historical
2022-05-01,MS,DIGITAL,PDL,1369.0,Historical
2022-05-01,MS,PHYSICAL,ILP,1516.0,Historical
2022-05-01,MS,PHYSICAL,PDL,11184.0,Historical
2022-05-01,NV,DIGITAL,ILP,60.0,Historical
2022-05-01,NV,PHYSICAL,ILP,428.0,Historical
2022-05-01,OH,DIGITAL,ILP,1456.0,Historical
2022-05-01,OH,PHYSICAL,ILP,5852.0,Historical
2022-05-01,OK,DIGITAL,ILP,439.0,Historical
2022-05-01,OK,PHYSICAL,ILP,1823.0,Historical
2022-05-01,RI,DIGITAL,PDL,267.0,Historical
2022-05-01,RI,PHYSICAL,PDL,6824.0,Historical
2022-05-01,TN,DIGITAL,PDL,603.0,Historical
2022-05-01,TN,PHYSICAL,PDL,4102.0,Historical
2022-05-01,TX,DIGITAL,ILP,2205.0,Historical
2022-05-01,TX,DIGITAL,PDL,4315.0,Historical
2022-05-01,TX,PHYSICAL,ILP,4928.0,Historical
2022-05-01,TX,PHYSICAL,PDL,8526.0,Historical
2022-05-01,UT,DIGITAL,ILP,14.0,Historical
2022-05-01,UT,PHYSICAL,ILP,67.0,Historical
2022-05-01,WI,DIGITAL,ILP,181.0,Historical
2022-05-01,WI,PHYSICAL,ILP,628.0,Historical
2022-05-01,WY,DIGITAL,PDL,409.0,Historical
2022-05-01,WY,PHYSICAL,PDL,2889.0,Historical
2022-06-01,AL,DIGITAL,ILP,82.0,Historical
2022-06-01,AL,DIGITAL,PDL,1836.0,Historical
2022-06-01,AL,PHYSICAL,ILP,488.0,Historical
2022-06-01,AL,PHYSICAL,PDL,15981.0,Historical
2022-06-01,CA,DIGITAL,PDL,15180.0,Historical
2022-06-01,CA,PHYSICAL,PDL,60750.0,Historical
2022-06-01,CO,DIGITAL,ILP,368.0,Historical
2022-06-01,CO,PHYSICAL,ILP,2491.0,Historical
2022-06-01,DE,DIGITAL,ILP,59.0,Historical
2022-06-01,DE,PHYSICAL,ILP,255.0,Historical
2022-06-01,FL,DIGITAL,ILP,3174.0,Historical
2022-06-01,FL,DIGITAL,PDL,4365.0,Historical
2022-06-01,FL,PHYSICAL,ILP,16459.0,Historical
2022-06-01,FL,PHYSICAL,PDL,34173.0,Historical
2022-06-01,IA,DIGITAL,PDL,860.0,Historical
2022-06-01,IA,PHYSICAL,PDL,9849.0,Historical
2022-06-01,ID,DIGITAL,ILP,24.0,Historical
2022-06-01,ID,PHYSICAL,ILP,126.0,Historical
2022-06-01,IN,DIGITAL,PDL,1612.0,Historical
2022-06-01,IN,PHYSICAL,PDL,18157.0,Historical
2022-06-01,KS,DIGITAL,PDL,426.0,Historical
2022-06-01,KS,PHYSICAL,PDL,3273.0,Historical
2022-06-01,KY,DIGITAL,PDL,4.0,Historical
